"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Oct-2024","EQ","1,560.05","1,565.95","1,518.05","1,418.25","1,553.00","1,551.75","1,545.12","1,702.05","1,164.55","1,74,47,689","26,95,86,99,176.10","4,31,158"
"30-Oct-2024","EQ","1,440.00","1,440.00","1,403.00","1,477.55","1,418.00","1,418.25","1,419.81","1,702.05","1,164.55","50,64,434","7,19,05,11,392.90","1,60,724"
"29-Oct-2024","EQ","1,510.00","1,517.15","1,450.00","1,503.15","1,479.00","1,477.55","1,472.37","1,702.05","1,164.55","34,75,282","5,11,69,03,479.55","1,50,154"
"28-Oct-2024","EQ","1,496.80","1,513.20","1,471.70","1,488.90","1,507.10","1,503.15","1,495.26","1,702.05","1,164.55","9,28,896","1,38,89,44,752.30","54,684"
"25-Oct-2024","EQ","1,492.30","1,506.75","1,478.80","1,492.30","1,486.65","1,488.90","1,488.10","1,702.05","1,132.00","11,75,088","1,74,86,52,739.55","72,597"
"24-Oct-2024","EQ","1,496.00","1,508.00","1,482.05","1,485.60","1,494.95","1,492.30","1,493.56","1,702.05","1,132.00","11,78,365","1,75,99,53,907.65","78,439"
"23-Oct-2024","EQ","1,504.75","1,514.10","1,482.30","1,510.35","1,487.45","1,485.60","1,499.36","1,702.05","1,132.00","19,25,211","2,88,65,85,792.80","94,794"
"22-Oct-2024","EQ","1,523.00","1,526.70","1,501.50","1,523.75","1,510.85","1,510.35","1,511.41","1,702.05","1,132.00","17,57,792","2,65,67,38,722.75","1,15,590"
"21-Oct-2024","EQ","1,552.00","1,561.25","1,517.15","1,551.70","1,518.80","1,523.75","1,532.58","1,702.05","1,132.00","12,97,970","1,98,92,39,131.10","78,583"
"18-Oct-2024","EQ","1,549.05","1,562.05","1,536.35","1,558.70","1,552.00","1,551.70","1,549.48","1,702.05","1,132.00","18,79,293","2,91,19,30,431.35","73,018"
"17-Oct-2024","EQ","1,562.20","1,578.70","1,552.15","1,562.20","1,556.50","1,558.70","1,563.45","1,702.05","1,132.00","14,98,368","2,34,26,23,353.10","71,152"
